episode: 216/10000, score: 124, e: 0.0099, -110
episode: 217/10000, score: 124, e: 0.0099, -109
episode: 218/10000, score: 124, e: 0.0099, -108
episode: 219/10000, score: 124, e: 0.0099, -109
episode: 220/10000, score: 124, e: 0.0099, -110
episode: 221/10000, score: 124, e: 0.0099, -111
episode: 222/10000, score: 124, e: 0.0099, -112
episode: 223/10000, score: 124, e: 0.0099, -111
episode: 224/10000, score: 124, e: 0.0099, -112
episode: 225/10000, score: 124, e: 0.0099, -113
episode: 226/10000, score: 124, e: 0.0099, -114
episode: 227/10000, score: 124, e: 0.0099, -115
episode: 228/10000, score: 124, e: 0.0099, -116
episode: 229/10000, score: 124, e: 0.0099, -115
episode: 230/10000, score: 124, e: 0.0099, -116
episode: 231/10000, score: 124, e: 0.0099, -117
episode: 232/10000, score: 124, e: 0.0099, -118
episode: 233/10000, score: 124, e: 0.0099, -119
episode: 234/10000, score: 124, e: 0.0099, -120
episode: 235/10000, score: 124, e: 0.0099, -119
episode: 236/10000, score: 124, e: 0.0099, -120
episode: 237/10000, score: 124, e: 0.0099, -121
episode: 238/10000, score: 124, e: 0.0099, -122
episode: 239/10000, score: 124, e: 0.0099, -123
episode: 240/10000, score: 124, e: 0.0099, -124
episode: 241/10000, score: 124, e: 0.0099, -123
episode: 242/10000, score: 124, e: 0.0099, -124
episode: 243/10000, score: 124, e: 0.0099, -125
episode: 244/10000, score: 124, e: 0.0099, -126
episode: 245/10000, score: 124, e: 0.0099, -127
episode: 246/10000, score: 124, e: 0.0099, -128
episode: 247/10000, score: 124, e: 0.0099, -127
episode: 248/10000, score: 124, e: 0.0099, -128
episode: 249/10000, score: 124, e: 0.0099, -129
episode: 250/10000, score: 124, e: 0.0099, -130
episode: 251/10000, score: 124, e: 0.0099, -131
episode: 252/10000, score: 250, e: 0.0099, -130
episode: 253/10000, score: 124, e: 0.0099, -131
episode: 254/10000, score: 124, e: 0.0099, -132
episode: 255/10000, score: 124, e: 0.0099, -133
episode: 256/10000, score: 124, e: 0.0099, -134
episode: 257/10000, score: 124, e: 0.0099, -133
episode: 258/10000, score: 250, e: 0.0099, -134
episode: 259/10000, score: 124, e: 0.0099, -135
episode: 260/10000, score: 124, e: 0.0099, -136
episode: 261/10000, score: 124, e: 0.0099, -137
episode: 262/10000, score: 124, e: 0.0099, -136
episode: 263/10000, score: 124, e: 0.0099, -137
episode: 264/10000, score: 124, e: 0.0099, -138
episode: 265/10000, score: 124, e: 0.0099, -139
episode: 266/10000, score: 124, e: 0.0099, -140
episode: 267/10000, score: 124, e: 0.0099, -141
episode: 268/10000, score: 124, e: 0.0099, -140
episode: 269/10000, score: 124, e: 0.0099, -141
episode: 270/10000, score: 124, e: 0.0099, -142
episode: 271/10000, score: 124, e: 0.0099, -143
episode: 272/10000, score: 124, e: 0.0099, -144
episode: 273/10000, score: 124, e: 0.0099, -145
episode: 274/10000, score: 124, e: 0.0099, -144
episode: 275/10000, score: 124, e: 0.0099, -145
